"id","location","date_test","sex","lp","age_group","age","doe_catalan","doe_spanish","doe_english","doe_others","test_language","list","version","filename"
"54377","Barcelona",2019-11-26,"m","Bilingual","30 months",28.2,0.54,0.46,0,0,"Spanish",1,"euro","CognatePriming_018_2019-11-26_2.csv"
"54731","Barcelona",2019-11-28,"m","Bilingual","30 months",29.5,0.58,0.4,0.02,0,"Catalan",2,"ll","CognatePriming_019_2019-11-28.csv"
"54538","Barcelona",2019-11-30,"f","Bilingual","30 months",26.866666666666667,0.26,0.74,0,0,"Spanish",1,"euro","CognatePriming_020_2019-11-30.csv"
"54379","Barcelona",2019-11-30,"f","Bilingual","30 months",28.3,0.56,0.4,0.04,0,"Spanish",2,"euro","CognatePriming_021_2019-11-30.csv"
"50010","Barcelona",2019-11-30,"f","Bilingual","30 months",36.06666666666667,0.24,0.76,0,0,"Catalan",3,"i","CognatePriming_022_2019-11-30.csv"
"54548","Barcelona",2019-11-30,"m","Monolingual","30 months",26.833333333333332,0.02,0.98,0,0,"Spanish",3,"euro","CognatePriming_023_2019-11-30.csv"
"54250","Barcelona",2019-12-14,"m","Monolingual","30 months",30.032258064516128,0.8200000000000001,0.18,0,0,"Catalan",1,"ll","CognatePriming_025_2019-12-14.csv"
"54487","Barcelona",2019-12-14,"m","Bilingual","30 months",27.533333333333335,0.5700000000000001,0.43,0,0,"Catalan",1,"i","CognatePriming_026_2019-12-14.csv"
"54840","Barcelona",2019-12-14,"m","Monolingual","30 months",28.322580645161292,0.88,0.11,0,0,"Catalan",2,"ll","CognatePriming_027_2019-12-14_1.csv"
"54469","Barcelona",2019-12-14,"f","Monolingual","30 months",28.032258064516128,0.07,0.93,0,0,"Spanish",3,"latin","CognatePriming_028_2019-12-14.csv"
"54639","Barcelona",2020-01-15,"m","Bilingual","30 months",27.419354838709676,0.24,0.76,0,0,"Spanish",1,"euro","CognatePriming_029_2020-01-15.csv"
"54705","Barcelona",2020-01-18,"f","Monolingual","30 months",26.838709677419356,0.16,0.84,0,0,"Spanish",3,"euro","CognatePriming_030_2020-01-17.csv"
"54680","Barcelona",2020-01-17,"f","Bilingual","30 months",27.096774193548388,0.44,0.66,0,0,"Spanish",2,"euro","CognatePriming_031_2020-01-18.csv"
"55537","Barcelona",2020-01-18,"m","Bilingual","30 months",27.419354838709676,0.53,0.47000000000000003,0,0,"Catalan",2,"ll","CognatePriming_032_2020-01-18_1.csv"
"54717","Barcelona",2020-01-23,"f","Monolingual","30 months",26.967741935483872,0.18,0.8200000000000001,0,0,"Spanish",1,"euro","CognatePriming_033_2020-01-23.csv"
"54709","Barcelona",2020-01-28,"f","Bilingual","30 months",27.258064516129032,0.58,0.37,0.05,0,"Catalan",1,"i","CognatePriming_034_2020-01-28.csv"
"55108","Barcelona",2020-02-01,"m","Bilingual","30 months",26.612903225806452,0.5,0.46,0,0.04,"Catalan",2,"ll","CognatePriming_035_2020-02-01.csv"
"54875","Barcelona",2020-02-06,"f","Monolingual","30 months",26.322580645161292,0.11,0.89,0,0,"Spanish",1,"euro","CognatePriming_036_2020-02-06.csv"
"58059","Barcelona",2020-02-08,"f","Bilingual","25 months",23.35483870967742,0.02,0.48,0.2,0.3,"Spanish",3,"euro","CognatePriming_037_2020-02-08.csv"
"54816","Barcelona",2020-02-10,"m","Monolingual","30 months",26.967741935483872,0.84,0.16,0,0,"Catalan",3,"ll","CognatePriming_038_2020-02-10.csv"
"54788","Barcelona",2020-02-10,"f","Monolingual","30 months",27.24137931034483,0,1,0,0,"Spanish",2,"euro","CognatePriming_039_2020-02-10.csv"
"54866","Barcelona",2020-02-14,"m","Monolingual","30 months",26.741935483870968,0.85,0.15,0,0,"Catalan",1,"ll","CognatePriming_040_2020-02-14.csv"
"54912","Barcelona",2020-02-15,"m","Monolingual","30 months",26.677419354838708,0.02,0.98,0,0,"Spanish",2,"euro","CognatePriming_041_2020-02-15.csv"
"54993","Barcelona",2020-02-25,"f","Bilingual","30 months",26.20689655172414,0.23,0.77,0,0,"Spanish",3,"euro","CognatePriming_042_2020-02-25.csv"
"54960","Barcelona",2020-02-28,"f","Bilingual","30 months",26.482758620689655,0.49,0.51,0,0,"Spanish",2,"euro","CognatePriming_043_2020-02-28_2.csv"
"54815","Barcelona",2020-02-29,"m","Bilingual","30 months",27.586206896551722,0.42,0.58,0,0,"Catalan",2,"ll","CognatePriming_044_2020-02-29_1.csv"
"55867","Barcelona",2020-03-07,"m","Bilingual","21 months",20.379310344827587,0.56,0.44,0,0,"Catalan",1,"ll","CognatePriming_045_2020-03-07_2.csv"
"55010","Barcelona",2020-03-07,"f","Bilingual","30 months",26.129032258064516,0.21,0.79,0,0,"Spanish",1,"euro","CognatePriming_046_2020-03-07.csv"
